Date,total,SP500,AMZN,AVGO,BABA,BKNG,CMCSA,COST,FB,FICO,GIB,HD,INTU,LMT,MCD,MSI,MTCH,NFLX,PAYC,PEP,SNPS,TTWO,UI,VZ
2020-04-20,3073.8510592241464,2823.159912109375,205.38520022330238,130.49993501867084,157.22977287348826,15.118411077346124,133.59554992841862,174.3987527519423,138.40195030057896,130.74109500312528,115.18315835043231,152.7997840692091,161.57056168234686,156.30126491080608,147.3650256842231,145.00575307138683,143.0286542988355,216.07544009569892,133.26261630575718,161.36935537613343,168.00669068543795,70.31429309894115,134.2258864267886,83.97190799127601
2020-04-21,2964.37181121082,2736.56005859375,199.76579098233924,125.12896183835664,153.67944082123478,14.375036803640265,128.21008016697888,168.3913614652561,132.62484742581952,124.02835229428149,111.66345874980932,148.7656603804361,152.48221385230406,152.31634365339517,144.0632117265611,135.02014823681506,136.98591460123188,214.2677715325428,124.7763816874256,157.0397867534126,161.142237923321,70.52745444744028,127.03781520474527,82.0795406634733
2020-04-22,3046.353637836546,2799.31005859375,202.80072488200832,131.35383470051715,155.62138032464708,14.511909593126433,128.2818880739797,172.91228768298637,141.5389730382913,129.26922971735544,114.42893068408655,151.405635387393,161.4787639622563,155.15514089891175,151.28340370681656,141.46879190564434,141.17180675236537,208.13851036397563,130.49380611081978,159.0546461289502,167.68405765387416,71.48666767670375,133.04357723655642,83.76967135528115
2020-04-23,3034.1985916192502,2797.800048828125,205.88629163921323,130.82835441488675,152.12293737545792,14.565459075019888,129.5744030080785,170.66579184072222,143.7519801687822,128.58009085471306,116.22745939374252,150.03374411140393,157.93522255032974,153.65825150706587,147.68141584113732,143.35392661751754,141.76523691453414,210.74629130847248,126.85598881094502,156.22423536312348,169.0970052913424,69.86554069933521,131.58711716144632,83.19184767198007
2020-04-24,3072.0772014082772,2836.739990234375,206.81041984663344,133.7993171636213,151.47068184975515,14.595125697166527,133.41603700889556,173.54374797655734,147.5878528758579,127.63571201056189,118.04533124669453,157.34557915304606,161.36248062445696,155.71392583279348,149.28771575668569,142.59801013998586,142.7223749129655,209.9017148414382,126.93390206318716,161.14148045384283,170.25405341195764,71.7334799986057,132.49526239394353,83.68299614962548
2020-04-27,3102.493463800886,2878.47998046875,203.87415403095014,135.6384904535903,150.9740823235018,15.025877415750987,137.1858631027118,172.5546301553236,145.59226257628123,131.7280160078687,120.63675915479308,161.4835217022475,166.36258944161273,154.40873756290054,150.804764409221,144.1285117428912,141.77799784525075,208.11875022284198,135.5040397436457,161.26142040250107,171.4889884228025,70.63964147742655,139.79471435792382,83.50965124884917
2020-04-28,3071.4238078491467,2863.389892578125,198.5610767203743,133.75890271986893,149.09143980513008,15.41496748053909,136.71913225114332,170.4143298797558,142.02816683201274,138.20679630652222,118.18070374077637,161.38712574889712,162.98430260290309,156.92124085277302,150.83720928583088,135.72007301082675,138.54924369254863,199.4508309223171,141.8507325606181,163.49216802557015,168.918992664719,67.59932760039348,137.79850216155867,83.53854298406773
2020-04-29,3170.341625777086,2939.510009765625,203.59185018810672,139.46333746469625,153.20507625065372,16.284719054457664,140.02221379743327,171.6102109980229,150.78699640073555,151.86198602372744,122.68668970931667,164.48686837840737,167.34180870237108,158.21827613033565,152.37049894489508,138.9770614189634,144.69408788455667,203.4316628330301,161.81375383967963,159.94215416832756,175.794564849918,67.97515885847443,141.82519051257734,83.95745936839921
2020-04-30,3155.602029892524,2912.429931640625,212.283104828523,137.24017299091747,150.2180599014139,15.856750706160097,135.10348858351983,169.3246102200859,158.95569626388078,150.13913886712146,123.71166236382608,163.0185698336608,165.12633656460085,158.68732835931775,152.15956392107495,134.20824005576338,142.60114180898992,207.36308685462333,156.43194166479327,158.65886625869814,174.80439295662572,67.90223771694944,138.81802813599285,82.98961103598522
2020-05-01,3061.503428000878,2830.7099609375,196.15508377304184,131.2174186059436,144.14766818852542,15.516391192839198,132.76977954184613,168.72108445971693,157.06105372448886,143.19242076604266,121.31362162520226,162.08420008980517,159.81409682208331,156.40731604768285,148.18440426971023,129.56074354352734,138.64495493509102,205.10102548082222,144.82930498324683,156.080322064947,166.48249788849387,68.79974679582219,133.3263039156492,82.0939892863501
2020-05-04,3094.0083030679466,2842.739990234375,198.724957913797,132.51089667866853,141.67948632121121,15.136297074948283,130.0411475556048,170.1572571364796,159.38275742210828,147.1145691030252,122.49330253984193,164.50911446882722,163.8839576138983,155.05725520168184,147.54350345261736,131.73517821692442,142.83723181375072,211.46243439442387,148.7008437503522,157.0157951036276,168.0845775756676,70.0674807770392,134.62855656917617,81.24170238427529
2020-05-05,3127.043380235648,2868.43994140625,198.880271114364,133.82963185130433,144.5479200101134,14.921027111848273,129.43078719407688,172.07404703833248,160.78821801610738,150.3390753380648,124.0017504952858,167.30482342413032,167.98443009711278,159.19308772476106,145.40990311396658,131.41788240364056,146.1936037979546,209.74860766093823,154.01074162762913,157.91528981776406,171.60025055849673,70.27502721047988,135.54527759588828,81.63172703338822
2020-05-06,3132.558862146311,2848.419921875,201.75132382061042,133.48099752347477,144.65909478847476,14.767983581601849,126.16360275330842,172.61611000403732,161.87530217067882,151.9938576341321,123.78902018251503,166.05157419191144,168.8351138726904,154.41280783540742,143.56834380125264,126.26643207971274,156.8880479773587,214.48015913644366,152.84806923287348,156.84789015566614,174.48175992506194,71.64934186594644,134.7570627538288,80.37496685932368
2020-05-07,3165.32594725655,2881.18994140625,203.15425409333406,135.2847985379886,145.63747807702893,15.46412684621677,127.74334931541043,170.44226441295777,164.0417098245493,155.94152867106106,125.64556356756388,170.15243615194402,171.85231722767463,153.58075451432,146.93505989095036,127.11567755644838,151.26645309074607,215.6013022164917,161.1065721938593,157.7713765195876,176.82924838797538,72.23833019286565,137.2330488033731,80.28829716420304
2020-05-08,3211.6570965767196,2929.800048828125,204.18392153793482,138.96312969845164,149.12109395252207,15.324040564872835,131.15413587422265,170.9675632479315,164.88809518238918,157.8643252806551,125.91630855572755,173.84543426193392,171.58303146403972,154.339393562485,147.02429877514749,122.50550409989032,149.86902462308092,215.11727673043194,163.03035281289442,160.98556218064047,178.19768438067857,72.83854407024087,161.59881495064337,82.33956076990528
2020-05-11,3229.134790725326,2930.18994140625,206.70573950360222,139.15007541232185,152.24152003579556,15.111663790333134,129.82572383460237,173.42080533317943,165.53257317153097,157.64311123839326,123.65364031118555,175.42497457418693,176.16087076877898,153.58890750665032,146.74036587365913,121.45094621691078,153.21902040409444,217.57195049442885,164.38479971619117,161.16547210362785,179.7663888223877,74.3755243556284,160.52788650234814,81.4728307554887
2020-05-12,3163.847238877339,2870.1201171875,202.23955277291887,135.6384904535903,148.4688384268193,14.843060059805305,126.9175652328801,170.35285003104207,163.1409880314738,149.56059404356526,120.46270775136678,172.7108383888924,172.3908887549444,151.36599103596072,143.21949638891257,122.46816680420635,151.64929806091564,213.27504676100625,157.88827934936722,159.43843932444315,176.4176090430999,73.83140827290717,157.45218313632992,80.1149467528917
