Date,total,SP500,ACN,ADBE,AMZN,AVGO,COST,FICO,GIB,HD,KO,LMT,LOGI,MCD,MSFT,MSI,MTCH,NFLX,NVDA,PAYC,PEP,RACE,SNE,SNPS,TTWO,UI,VZ
2020-03-06,3132.5200306532724,2972.3701171875,19.97942709815798,164.0322587124433,163.1568352889198,7.869109085679686,173.9852261578756,152.2618589656141,99.32764380014086,88.86239173370727,9.428676160170188,155.99944237946946,135.96587303084962,161.32678272595442,112.47072971262642,177.29411801661422,126.44461011476278,182.23355316806908,180.63408248687176,160.44132836198057,73.7495446740552,147.10688391245813,148.8817708904727,157.02076529717425,157.03488703969134,122.71983745327599,54.292394386237575
2020-03-09,2915.8069171331035,2746.56005859375,18.343070172157656,148.94268322491334,154.53336353433622,7.2344985117783205,168.75461272117911,134.36546119800678,93.5162977544567,81.84315789446511,8.848555307152361,143.58376692326843,128.03823350634326,151.59168573928227,104.84830099777443,166.98421528408943,120.75281732270514,171.13072024468087,166.64722681773964,144.33786623025475,69.93473254419993,133.1385955308887,138.05529176073964,145.59650792571662,151.95116096351717,109.53456038435083,53.2995346391073
2020-03-10,3056.812079186138,2882.22998046875,19.51109787679194,161.894006979248,162.36125639629617,7.67782014055509,172.90110022646593,143.1711561767689,96.86520739742153,87.76964695306245,9.155678188265153,149.75898023473115,134.1889865118878,162.1380408081771,112.01825090653966,172.06357620823198,126.12556127384039,179.84308855832788,177.26635962802138,143.52280399327236,72.07317698873962,141.46157109425098,142.3009769079012,154.13619993989198,158.44925184063516,116.20002453714032,53.958259419674214
2020-03-11,2924.955643134891,2741.3798828125,18.45484319088861,153.5406728713482,156.27127492937902,7.183390921219525,166.2119391999659,133.80394881714116,93.1645211254968,82.78812733237235,8.908273410107055,145.58234540805074,127.83320362660331,152.71933397841917,106.94360321622788,162.46922608729867,120.01263219512758,172.8248019096043,167.3465685651651,132.2557704154858,69.7144383244318,138.2715777363202,136.30985142047496,150.20270330698267,158.84954875937987,110.94818724338624,52.344859144014265
2020-03-12,2628.0287449602674,2480.639892578125,17.0487384105907,138.81638880579843,143.89133820172853,6.389324914323499,156.3877663484041,118.74068758198737,82.02024009653599,74.11615825231144,8.046622869723373,127.00370479985726,116.62516423715988,138.01934148976534,96.80125450428622,142.47424317413,105.88524192288418,155.70135091245535,146.8687290886793,115.05556952147687,61.971969641911876,125.6566274687824,123.9973824892353,135.84827373600476,144.58577706240823,97.19746335270403,48.8793860771231
2020-03-13,2857.7629671714312,2711.02001953125,18.61132473490358,163.41367875208903,153.1936711185865,6.8402399560390394,168.91666030022984,129.12884188560548,84.91887608384697,79.98043142315568,8.270140406699594,134.02320714456116,125.91963052114819,143.6981480653241,110.56338055583417,156.16031907431645,109.11398755125047,166.09789821160183,163.52394514861334,135.81567446311846,68.47865088013296,137.53691858878426,132.84254488288116,148.08203298530168,155.60717629346308,105.31081832281728,51.71476982112678
2020-03-16,2535.4491796210264,2386.1298828125,17.04985552679048,139.31807551111902,144.9675592773335,5.478149674628392,158.24865307575394,102.38421996068857,76.89837323770942,64.149232372259,7.722437208567451,117.44314502114999,115.80505775335044,120.88556237562753,94.26740930438007,146.37448239346529,95.55450557974267,147.5964825899533,133.35036670594724,117.62661539798839,60.76304874611248,125.00896451961547,121.89813205411902,128.5513442516219,144.11877077718842,101.30983120872914,48.67890509718508
2020-03-17,2709.143204494852,2529.18994140625,17.627723534487917,151.87486966536423,155.15386059322893,5.826557206653112,171.5543248775694,104.51545628052648,75.09727324740865,67.52468608519456,8.050035425732,130.04235615965712,125.16788036573574,119.75791413649064,102.02905818194431,150.49642589599486,99.91905928524433,157.9238920039892,147.5205480872167,129.90048572129837,68.62372368321435,132.05593683975812,130.20079223401964,136.3841432590317,155.40702783409074,114.64074644145109,51.84842744955012
2020-03-18,2598.14008397409,2398.10009765625,16.89449109897529,143.49717288643185,157.05569644090383,4.902531987174999,171.83933215404758,90.18387606860733,68.4557341426717,60.5210047344408,7.652481437586879,135.98916121270568,129.71259856785994,111.3857371649369,97.73404127845761,149.3575944888895,88.89919006172747,155.81000907983318,137.70938489052372,115.30128889797292,64.97009444731671,129.58127997424913,129.2337215055583,130.2387626199654,142.26408140162013,107.0928448295234,51.85797260210993
2020-03-19,2675.432612719307,2409.389892578125,17.716023468856168,149.78045290280656,161.42665548753985,5.6787833303941895,170.56520705633565,104.12834468861304,71.76243230782066,62.659830896465714,7.137197846975937,128.153911531575,146.0462806695992,121.28308329229039,99.34206761650941,150.88947159025602,89.21185417512365,163.98895909087207,144.60096050265284,118.39373172164852,63.04656599373356,132.14293303812715,130.67253602790032,131.07106356961583,141.9171580840396,112.62740880237027,51.189699027185206
